Nome,Ruolo,Squadra,Prezzo,FVM,Pt_giornata,Valore_stagionale,Valore_per_credito
Mora,C,Roma,19,95,4.05,137.7,7.247
Da Cunha,C,Como,18,87,5.29,179.9,9.994
Zaniolo,C,Udinese,18,85,4.21,143.1,7.95
Barella,C,Inter,17,80,5.54,188.4,11.082
McKennie,C,Juventus,17,70,3.77,128.2,7.541
Atta,C,Fiorentina,16,86,5.38,182.9,11.431
Zaccagni,C,Lazio,16,88,3.53,120.0,7.5
De Bruyne,C,Napoli,16,107,4.75,161.5,10.094
Gudmundsson A.,C,Fiorentina,13,40,4.6,156.4,12.031
Taylor K.,C,Lazio,13,57,5.56,189.0,14.538
Vlasic,C,Torino,13,75,3.58,121.7,9.362
Ederson D.S.,C,Atalanta,12,49,4.55,154.7,12.892
Samardzic,C,Atalanta,12,41,4.86,165.2,13.767
Rodriguez Je.,C,Como,12,31,4.57,155.4,12.95
Alajbegovic,C,Juventus,12,50,4.47,152.0,12.667
Conceicao,C,Juventus,12,67,5.5,187.0,15.583
Modric,C,Milan,12,46,3.91,132.9,11.075
Mastantuono,C,Fiorentina,12,54,4.46,151.6,12.633
Moreira,C,Milan,12,50,4.95,168.3,14.025
Jones C.,C,Inter,12,48,3.5,119.0,9.917
Rowe,C,Bologna,11,44,5.17,175.8,15.982
Baldanzi,C,Genoa,11,30,4.72,160.5,14.591
Zielinski,C,Inter,11,45,4.92,167.3,15.209
Zambo Anguissa,C,Napoli,11,47,5.79,196.9,17.9
Ekkelenkamp,C,Udinese,11,45,3.88,131.9,11.991
Perrone,C,Como,10,37,5.39,183.3,18.33
Thuram K.,C,Juventus,10,35,5.27,179.2,17.92
Saelemaekers,C,Milan,10,35,4.89,166.3,16.63
Politano,C,Napoli,10,40,5.36,182.2,18.22
Vergara,C,Napoli,10,40,4.05,137.7,13.77
Konè M.,C,Roma,10,42,4.68,159.1,15.91
Thorstvedt,C,Sassuolo,10,40,3.39,115.3,11.53
Casadei,C,Torino,10,32,4.17,141.8,14.18
Pellegrini Lo.,C,Roma,10,25,4.66,158.4,15.84
Pasalic,C,Atalanta,9,24,4.7,159.8,17.756
Bernardeschi,C,Bologna,9,30,4.51,153.3,17.033
Mandragora,C,Fiorentina,9,23,3.56,121.0,13.444
Diouf,C,Inter,9,44,4.51,153.3,17.033
Frattesi,C,Lazio,9,68,4.87,165.6,18.4
Cancellieri,C,Lazio,9,28,3.58,121.7,13.522
Isaksen,C,Lazio,9,22,5.04,171.4,19.044
Konè I.,C,Sassuolo,9,20,4.44,151.0,16.778
Gaetano,C,Atalanta,8,30,5.46,185.6,23.2
Odgaard,C,Bologna,8,17,5.26,178.8,22.35
Cambiaghi,C,Bologna,8,21,4.31,146.5,18.312
Fagioli,C,Fiorentina,8,22,5.14,174.8,21.85
Ndour,C,Fiorentina,8,25,3.54,120.4,15.05
Sucic P.,C,Inter,8,21,4.6,156.4,19.55
Locatelli,C,Juventus,8,33,4.11,139.7,17.462
Colpani,C,Monza,8,25,4.48,152.3,19.038
Lobotka,C,Napoli,8,22,5.33,181.2,22.65
